order_id,customer_id,province,amount,status,order_date
1001,C001,Hanoi,125000,success,2026-09-01
,C002,Da Nang,89000,SUCCESS,2026-09-01
1003,C003,Hanoi,-210000,FAILED,2026-09-02
1004,C004,Ho Chi Minh,450000,FAILED,2026-09-02
1005,C001,Da Nang,150000,SUCCESS,2026-09-03
1006,C005,Hanoi,99000,failed,2026-09-03
1007,C006,Ho Chi Minh,275000,SUCCESS,2026-09-04
1008,C007,Can Tho,180000,success,2026-09-04
1009,C008,Hanoi,0,FAILED,2026-09-05
1010,C009,Da Nang,320000,FAILED,2026-09-05
1011,C010,Hanoi,75000,SUCCESS,bad-date
1011,C010,Hanoi,150000,SUCCESS,2026-09-06
1012,C011,Ha Noi,250000,SUCCESS,2026-09-06
,,Da Nang,120000,SUCCESS,2026-09-06
1014,c012,Ho Chi Minh,450000,SUCCESS,2026-09-07
1015,C013, Tp. Ho Chi Minh,300000,PENDING,2026-09-07
1015,C013, Tp. Ho Chi Minh,300000,PENDING,2026-09-07
1016,C014,Hanoi,-50000,SUCCESS,2026-09-08
1017,C015,Can Tho,200k,SUCCESS,2026-09-08
,C016,Danang,180000,Success,2026-09-08
1019,C017,Hanoi,NULL,CANCELLED,2026-09-09
1020,C018,,90000,PENDING,2026-09-09
1021,C019,Sai Gon,350000,SUCCESS,2026-09-09
1022,C020,Hanoi,999999999,SUCCESS,2026-09-10
1023,C001,Hanoi,"1,250,000",SUCCESS,2026-09-10
1024,C021,Da Nang, 420000,CANCELED,2026-09-10
1025,C022,Hanoi,150000,FAIL,2026-09-11
1026,C023,Can Tho,0,SUCCESS,2026-09-11
1027,C024,HN,110000,SUCCESS,2026-09-11
1028,C025,Ho Chi Minh,250000,PENDING,2026-09-12
1029,C026,Da Nang,150000,SUCCESS,2026-09-12
,C027,Hanoi,NaN,CANCELLED,2026-09-12
1031,C028,Ho Chi Minh,450000,success,2026-09-13
1032,C029,Can Tho,120000,SUCCESS,2026-09-13
1033,C030,Hanoi,abc,PENDING,2026-09-13
1034,C-031,Da Nang,180000,SUCCESS,2026-09-14
1035,C032,Hanoi,210000,SUCCESS,2026-09-14
1036,C033,Hồ Chí Minh,500000,SUCCESS,2026-09-14
,C034,Hanoi,150000,SUCCES,2026-09-15
1038,C035,Da Nang,120000,PENDING,2026-09-15
1039,C036,Can Tho,350000,SUCCESS,2026-09-15
1040,C037,Hanoi,150000,SUCCESS,2026-09-16
,C038,Da Nang,-120000,CANCELLED,2026-09-16
1042,C039,Ho Chi Minh,220000,SUCCESS,2026-09-16
1043,C040,Hanoi,130000,SUCCESS,2026-09-17
1044,C041,Can Tho,280000,SUCCESS,2026-09-17
1045,C013,Tp. Ho Chi Minh,300000,PENDING,2026-09-17
1046,C042,Hanoi,190000,SUCCESS,2026-09-18
1047,C043,Da Nang,250000,SUCCESS,2026-09-18
,C044,Ho Chi Minh,400000,SUCCESS,2026-09-18
1049,C045,Hanoi,175000,SUCCESS,2026-09-19
1050,C046,Can Tho,210000,SUCCESS,2026-09-19
1051,C047,Da Nang,320000,SUCCESS,2026-09-19
1052,C048,Ho Chi Minh,150000,SUCCESS,2026-09-20
1053,C049,Hanoi,290000,SUCCESS,2026-09-20
1054,C050,Can Tho,160000,SUCCESS,2026-09-20
1055,C051,Da Nang,450000,SUCCESS,2026-09-21
1056,C052,Ho Chi Minh,180000,SUCCESS,2026-09-21
,C053,Hanoi,250000,SUCCESS,2026-09-21
1058,C054,Can Tho,110000,SUCCESS,2026-09-22
1059,C055,Da Nang,380000,SUCCESS,2026-09-22
1060,C056,Ho Chi Minh,230000,SUCCESS,2026-09-22
,C057,Hanoi,150000,SUCCESS,2026-09-23
,C058,Da Nang,-50000,failed,2026-09-23
1063,C059,Ho Chi Minh,0,FAILED,2026-09-23
1064,C060,,200000,failed,2026-09-24
1065,C061,Hanoi,-100,SUCCESS,2026-09-24
1066,C062,Can Tho,0,success,2026-09-24
,C063,Ho Chi Minh,350000,FAILED,2026-09-24
