order_id,customer_id,province,amount,status,order_date,updated_at
1060,83,HoChiMinh,14105608.0,PENDING,2025-07-13,2025-07-13 22:57:00
1070,151,HaiPhong,6248419.0,COMPLETED,2025-05-15,2025-05-15 02:57:00
1012,79,CanTho,8544355.0,SHIPPING,2025-09-04,2025-09-04 18:33:00
840,87,HaiPhong,12607363.0,PENDING,,2025-07-02 18:49:00
1321,119,HaiPhong,9280747.0,CANCELLED,2025-07-25,2025-07-25 08:10:00
1555,52,CanTho,16128764.0,CANCELLED,2025-06-29,2025-06-29 13:28:00
2640,14,CanTho,19455750.0,SHIPPING,2025-02-21,2025-02-21 14:41:00
986,49,DaNang,13344286.0,COMPLETED,2025-01-06,2025-01-06 15:41:00
926,21,HaNoi,15212091.0,SHIPPING,2025-05-17,2025-05-17 23:31:00
437,101,CanTho,14259424.0,PENDING,2025-10-09,2025-10-09 14:48:00
5,189,HaNoi,2591928.0,PENDING,2025-02-01,2025-02-01 05:07:00
2337,95,HoChiMinh,13137466.0,PENDING,2025-09-21,2025-09-21 13:41:00
1374,37,DaNang,2514355.0,Pending,2025-01-14,2025-01-14 11:42:00
1631,95,HoChiMinh,18122690.0,COMPLETED,2025-10-24,2025-10-24 23:28:00
1806,24,HaNoi,9487910.0,PENDING,2025-04-02,2025-04-02 21:27:00
1429,150,DaNang,5775657.0,CANCELLED,2025-13-40,2025-09-29 22:31:00
2440,62,NgheAn,1106468.0,COMPLETED,2025-04-03,2025-04-03 00:28:00
370,59,NgheAn,19523984.0,CANCELLED,2025-02-05,2025-02-05 11:15:00
1917,110,HaNoi,13940588.0,PENDING,2025-02-20,2025-02-20 18:37:00
2246,150,DaNang,832928.0,completed,2025-01-07,2025-01-07 08:39:00
2548,111,DaNang,15369763.0,PENDING,2025-05-10,2025-05-10 17:09:00
2046,86,HaNoi,6533578.0,completed,2025-04-10,2025-04-10 13:19:00
529,35,HaNoi,19479855.0,SHIPPING,2025-09-26,2025-09-26 06:18:00
671,191,CanTho,62960.0,COMPLETED,2025-13-40,2025-09-13 21:20:00
1199,180,HaNoi,11230356.0,SHIPPING,2025-06-10,2025-06-10 00:14:00
927,200,HaNoi,18446156.0,PENDING,2025-06-21,2025-06-21 22:11:00
16,69,HoChiMinh,192467.0,COMPLETED,2025-05-03,2025-05-03 21:18:00
1879,23,HaiPhong,505072.0,CANCELLED,2025-09-23,2025-09-23 04:18:00
1215,144,NgheAn,5585921.0,Cancelled,2025-10-20,2025-10-20 09:20:00
2119,26,HoChiMinh,1602534.0,SHIPPING,2025-05-24,2025-05-24 20:11:00
451,126,HaNoi,13313020.0,SHIPPING,2025-04-08,2025-04-08 10:44:00
1308,190,HaiPhong,17694691.0,PENDING,2025-09-23,2025-09-23 21:27:00
969,142,CanTho,14245036.0,PENDING,2025-03-13,2025-03-13 02:55:00
401,59,DaNang,3268828.0,PENDING,2025-05-27,2025-05-27 17:56:00
841,148,HoChiMinh,5749087.0,PENDING,2025-09-14,2025-09-14 22:05:00
1782,151,HaNoi,12308014.0,CANCELLED,2025-08-21,2025-08-21 20:06:00
98,1,HaiPhong,13724655.0,SHIPPING,2025-04-02,2025-04-02 01:10:00
1115,88,CanTho,8491785.0,COMPLETED,2025-03-17,2025-03-17 05:55:00
2222,6,NgheAn,-374848,SHIPPING,2025-04-08,2025-04-08 15:46:00
2868,10,NgheAn,2661704.0,COMPLETED,2025-07-09,2025-07-09 12:42:00
2514,186,HaNoi,6449105.0,Shipping,2025-03-13,2025-03-13 21:39:00
2545,142,CanTho,8514016.0,Cancelled,2025-06-01,2025-06-01 04:28:00
874,152,HaNoi,1095602.0,PENDING,2025-04-27,2025-04-27 13:29:00
2961,83,HoChiMinh,7669248.0,PENDING,2025-10-08,2025-10-08 04:44:00
2856,100,CanTho,10904747.0,CANCELLED,2025-07-12,2025-07-12 10:44:00
1995,82,HaiPhong,16883484.0,COMPLETED,2025-02-02,2025-02-02 08:20:00
429,52,NgheAn,11874905.0,COMPLETED,2025-03-14,2025-03-14 21:48:00
434,38,NgheAn,7857155.0,COMPLETED,2025-03-24,2025-03-24 17:52:00
1400,103,HaiPhong,14223168.0,SHIPPING,2025-07-11,2025-07-11 04:15:00
1695,55,HoChiMinh,15700670.0,COMPLETED,2025-06-06,2025-06-06 16:50:00
2816,46,HaNoi,9896039.0,CANCELLED,2025-08-07,2025-08-07 01:23:00
2206,134,DaNang,17366950.0,PENDING,2025-06-27,2025-06-27 09:02:00
2688,141,DaNang,13810975.0,SHIPPING,2025-04-19,2025-04-19 15:07:00
2230,161,NgheAn,1232633.0,SHIPPING,2025-09-20,2025-09-20 01:23:00
260,182,NgheAn,13137573.0,COMPLETED,2025-08-07,2025-08-07 02:31:00
1248,45,DaNang,17068236.0,PENDING,2025-04-11,2025-04-11 15:27:00
749,56,HaNoi,14666464.0,CANCELLED,2025-05-02,2025-05-02 14:35:00
2927,168,HaiPhong,3216632.0,PENDING,2025-02-28,2025-02-28 03:26:00
77,86,HaNoi,19434704.0,PENDING,2025-02-02,2025-02-02 07:43:00
1163,26,DaNang,3442825.0,COMPLETED,2025-03-02,2025-03-02 16:30:00
2510,53,NgheAn,,COMPLETED,2025-01-27,2025-01-27 03:54:00
1821,5,HaiPhong,12565415.0,CANCELLED,2025-04-17,2025-04-17 12:02:00
2609,16,NgheAn,4699374.0,SHIPPING,2025-02-01,2025-02-01 06:42:00
1852,133,NgheAn,5149905.0,COMPLETED,2025-08-07,2025-08-07 22:29:00
2306,35,NgheAn,7751312.0,SHIPPING,2025-09-08,2025-09-08 23:45:00
1236,191,HoChiMinh,0,PENDING,2025-09-25,2025-09-25 12:24:00
1792,124,HaiPhong,12076000.0,PENDING,2025-02-22,2025-02-23 12:25:00
2578,159,HaNoi,15581347.0,SHIPPING,2025-05-08,2025-05-08 13:42:00
374,131,NgheAn,10214099.0,COMPLETED,2025-04-28,2025-04-28 06:40:00
507,188,NgheAn,11667861.0,SHIPPING,2025-03-21,2025-03-21 12:47:00
2141,200,CanTho,17805054.0,CANCELLED,2025-05-06,2025-05-06 09:02:00
2488,7,CanTho,5407718.0,COMPLETED,2025-04-28,2025-04-28 04:18:00
1505,196,NgheAn,17853672.0,CANCELLED,2025-06-19,2025-06-19 17:33:00
1837,192,HaNoi,1463953.0,CANCELLED,2025-10-25,2025-10-25 04:44:00
190,65,HaNoi,5442860.0,COMPLETED,2025-01-07,2025-01-07 11:19:00
1673,128,NgheAn,18387121.0,CANCELLED,2025-05-01,2025-05-01 12:14:00
2617,155,NgheAn,6340100.0,COMPLETED,2025-08-05,2025-08-05 21:04:00
