customer_id,customer_name,province,created_at
C0001,Customer_1,HaNoi,2024-02-27 00:00:00
C0002,Customer_2,HCM,2024-05-20 00:00:00
C0003,Customer_3,HCM,2024-04-24 00:00:00
C0004,Customer_4,CanTho,2024-02-22 00:00:00
C0005,Customer_5,CanTho,2024-02-14 00:00:00
C0006,Customer_6,HaNoi,2024-08-04 00:00:00
C0007,Customer_7,HaNoi,2024-01-16 00:00:00
C0008,Customer_8,HCM,2024-04-21 00:00:00
C0009,Customer_9,CanTho,2024-09-15 00:00:00
C0010,Customer_10,CanTho,2024-01-14 00:00:00
C0011,Customer_11,CanTho,2024-04-11 00:00:00
C0012,Customer_12,HCM,2024-08-02 00:00:00
C0013,Customer_13,CanTho,2024-08-17 00:00:00
C0014,Customer_14,HaNoi,2024-05-22 00:00:00
C0015,Customer_15,HaiPhong,2024-03-22 00:00:00
C0016,Customer_16,DaNang,2024-06-23 00:00:00
C0017,Customer_17,HCM,2024-03-20 00:00:00
C0018,Customer_18,HaNoi,2024-06-21 00:00:00
C0019,Customer_19,HaiPhong,2024-02-17 00:00:00
C0020,Customer_20,DaNang,2024-02-19 00:00:00
