transaction_id,customer_id,amount,status,transaction_time,updated_at
T00001,C0012,3022592.9,FAILED,2024-04-16 14:00:00,2024-04-16 14:17:00
T00002,C0020,4428404.22,SUCCESS,2024-03-13 22:00:00,2024-03-13 22:02:00
T00002,C0020,4428404.22,FAILED,2024-03-13 22:00:00,2024-03-14 13:02:00
T00003,C0015,3182065.38,SUCCESS,2024-03-24 11:00:00,2024-03-24 11:06:00
T00004,C0006,2675357.99,SUCCESS,2024-03-30 12:00:00,2024-03-30 12:08:00
T00005,C0002,1152949.88,SUCCESS,2024-03-21 12:00:00,2024-03-21 12:08:00
T00005,C0002,1152949.88,PENDING,2024-03-21 12:00:00,2024-03-23 01:08:00
T00006,C0015,722929.24,SUCCESS,2024-04-17 17:00:00,2024-04-17 17:17:00
T00007,C0008,4986655.63,SUCCESS,2024-04-01 02:00:00,2024-04-01 02:24:00
T00007,C0008,4986655.63,SUCCESS,2024-04-01 02:00:00,2024-04-01 10:24:00
T00008,C0013,2983483.26,SUCCESS,2024-03-17 17:00:00,2024-03-17 17:27:00
T00009,C0009,3845307.68,SUCCESS,2024-03-19 13:00:00,2024-03-19 13:05:00
T00010,C0017,3812191.37,SUCCESS,2024-03-07 20:00:00,2024-03-07 20:09:00
T00011,C0006,2701501.36,FAILED,2024-04-03 00:00:00,2024-04-03 00:19:00
T00012,,465258.32,FAILED,2024-04-03 00:00:00,2024-04-03 00:19:00
T00013,C0019,4735277.73,SUCCESS,2024-04-01 02:00:00,2024-04-01 02:24:00
T00014,C0006,1332632.58,PENDING,2024-03-28 06:00:00,2024-03-28 06:29:00
T00015,C0012,2196119.42,SUCCESS,2024-03-08 07:00:00,2024-03-08 07:07:00
T00015,C0012,2196119.42,PENDING,2024-03-08 07:00:00,2024-03-08 09:07:00
T00016,C0012,0,SUCCESS,2024-03-08 07:00:00,2024-03-08 07:07:00
T00017,C0002,4299580.65,SUCCESS,2024-03-16 08:00:00,2024-03-16 08:21:00
T00018,C0019,2368628.42,FAILED,2024-04-21 13:00:00,2024-04-21 13:06:00
T00018,C0019,2368628.42,FAILED,2024-04-21 13:00:00,2024-04-23 08:06:00
T00019,C0004,312457.24,FAILED,2024-04-21 03:00:00,2024-04-21 03:07:00
T00020,C0015,1256534.17,PENDING,2024-03-29 17:00:00,2024-03-29 17:03:00
T00020,C0015,1256534.17,SUCCESS,2024-03-29 17:00:00,2024-03-31 04:03:00
T00021,C0016,2411978.51,PENDING,2024-04-27 01:00:00,2024-04-27 01:05:00
T00022,C0015,1433393.65,SUCCESS,2024-04-16 17:00:00,2024-04-16 17:21:00
T00023,C0019,3681328.52,SUCCESS,2024-03-21 01:00:00,2024-03-21 01:01:00
T00024,C0017,409756.21,SUCCESS,2024-04-08 02:00:00,2024-04-08 02:21:00
T00025,C0019,2976650.58,SUCCESS,2024-03-27 21:00:00,2024-03-27 21:18:00
T00026,C0011,1201042.9,SUCCESS,2024-04-12 20:00:00,2024-04-12 20:09:00
T00027,C9636,499242.68,SUCCESS,2024-04-12 20:00:00,2024-04-12 20:09:00
T00028,C0003,2692795.68,SUCCESS,2024-03-09 11:00:00,2024-03-09 11:28:00
T00028,C0003,2692795.68,FAILED,2024-03-09 11:00:00,2024-03-10 03:28:00
T00028,C0003,2692795.68,PENDING,2024-03-09 11:00:00,2024-03-10 18:28:00
T00029,C0017,49037.3,FAILED,2024-03-20 21:00:00,2024-03-20 21:03:00
T00030,C0018,785685.07,SUCCESS,2024-03-14 22:00:00,2024-03-14 22:10:00
T00031,C0002,470569.35,SUCCESS,2024-03-18 01:00:00,2024-03-18 01:00:00
T00032,C0015,2762885.3,SUCCESS,2024-03-01 03:00:00,2024-03-01 03:02:00
T00033,C9378,295429.69,SUCCESS,2024-03-01 03:00:00,2024-03-01 03:02:00
T00034,C0014,645953.14,SUCCESS,2024-04-27 01:00:00,2024-04-27 01:28:00
T00035,C0018,4421832.16,SUCCESS,2024-04-09 23:00:00,2024-04-09 23:04:00
T00036,C0006,4408266.86,SUCCESS,2024-04-17 10:00:00,2024-04-17 10:25:00
T00037,C0009,804397.24,FAILED,2024-03-25 01:00:00,2024-03-25 01:27:00
T00038,C0008,1122388.5,SUCCESS,2024-03-26 10:00:00,2024-03-26 10:08:00
T00039,C0013,3400795.41,FAILED,2024-03-22 00:00:00,2024-03-22 00:03:00
T00040,C0002,550928.71,SUCCESS,2024-04-16 10:00:00,2024-04-16 10:13:00
T00041,C0009,231488.8,SUCCESS,2024-04-03 17:00:00,2024-04-03 17:21:00
T00042,C0003,4744883.68,PENDING,2024-04-09 10:00:00,2024-04-09 10:21:00
T00043,C0014,1637652.7,SUCCESS,2024-04-05 04:00:00,2024-04-05 04:06:00
T00044,C0020,2849835.22,SUCCESS,2024-04-23 00:00:00,2024-04-23 00:09:00
T00045,C0015,2214512.22,SUCCESS,2024-04-02 15:00:00,2024-04-02 15:25:00
T00046,C0017,3322630.64,SUCCESS,2024-03-06 07:00:00,2024-03-06 07:21:00
T00047,C9486,309524.25,SUCCESS,2024-03-06 07:00:00,2024-03-06 07:21:00
T00048,C0015,2078060.64,SUCCESS,2024-03-13 22:00:00,2024-03-13 22:22:00
T00049,C0004,3894317.83,SUCCESS,2024-04-21 22:00:00,2024-04-21 22:16:00
T00050,C0005,4009068.84,SUCCESS,2024-04-05 19:00:00,2024-04-05 19:10:00
T00051,C0017,2139436.38,PENDING,2024-03-29 05:00:00,2024-03-29 05:23:00
T00052,C0009,3831410.28,SUCCESS,2024-04-10 07:00:00,2024-04-10 07:08:00
T00053,C0018,412082.51,SUCCESS,2024-03-25 22:00:00,2024-03-25 22:04:00
T00054,C0014,320705.9,FAILED,2024-03-25 18:00:00,2024-03-25 18:30:00
T00055,C0001,4714280.87,SUCCESS,2024-03-25 13:00:00,2024-03-25 13:17:00
T00056,C0008,1371947.21,SUCCESS,2024-03-25 10:00:00,2024-03-25 10:21:00
T00057,C0005,4903802.67,SUCCESS,2024-04-28 12:00:00,2024-04-28 12:18:00
T00058,,324947.33,SUCCESS,2024-04-28 12:00:00,2024-04-28 12:18:00
T00059,C0009,1901728.28,SUCCESS,2024-03-21 10:00:00,2024-03-21 10:24:00
T00060,C0003,2356831.11,FAILED,2024-03-04 11:00:00,2024-03-04 11:07:00
T00061,C0008,1004809.8,SUCCESS,2024-03-10 07:00:00,2024-03-10 07:04:00
T00062,C0009,3836821.51,SUCCESS,2024-04-08 23:00:00,2024-04-08 23:22:00
T00062,C0009,3836821.51,FAILED,2024-04-08 23:00:00,2024-04-09 10:22:00
T00062,C0009,3836821.51,FAILED,2024-04-08 23:00:00,2024-04-09 11:22:00
T00063,C0007,389222.42,SUCCESS,2024-04-10 07:00:00,2024-04-10 07:03:00
